economy,gni_per_capita_usd_atlas_2025,population_millions_2025,income_group_fy27
Sudan,900,51.662,Low income
Sierra Leone,830,8.82,Low income
Liberia,830,5.731,Low income
Niger,750,27.918,Low income
"Yemen, Rep.",740,41.774,Low income
"Congo, Dem. Rep.",720,112.832,Low income
Syrian Arab Republic,720,25.62,Low income
Eritrea,650,3.607,Low income
"Somalia, Fed. Rep.",640,19.655,Low income
Malawi,600,22.216,Low income
Mozambique,570,35.632,Low income
Central African Republic,560,5.513,Low income
Madagascar,560,32.741,Low income
Afghanistan,390,43.844,Low income
Burundi,240,14.39,Low income
